Tahun,Bulan,Kurs (Rp/US$),Volume ekspor neto (kg)
2000,Jan,7457,14256630035
2000,Feb,7537,15360591915
2000,Mar,7622,14935363419
2000,Apr,7977,15111719760
2000,May,8652,14726708005
2000,Jun,8767,11550247198
2000,Jul,9035,9181282971
2000,Aug,8322,11025851000
2000,Sep,8812,11755348008
2000,Oct,9427,12920442602
2000,Nov,9562,13261640314
2000,Dec,9627,13628086473
2001,Jan,9482,19981775223
2001,Feb,9867,11110802791
2001,Mar,10432,19603396619
2001,Apr,11707,24578779623
2001,May,11090,16125500298
2001,Jun,11472,11959724495
2001,Jul,9557,17621944448
2001,Aug,8897,20210852559
2001,Sep,9707,15636530641
2001,Oct,10467,18691823338
2001,Nov,10462,15388731616
2001,Dec,10432,15979973423
2002,Jan,10352,12723646348
2002,Feb,10221,12865137386
2002,Mar,9687,12523357338
2002,Apr,9348,13037272097
2002,May,8817,9372702643
2002,Jun,8762,14272344490
2002,Jul,9140,14461894544
2002,Aug,8899,12530844949
2002,Sep,9047,15395377427
2002,Oct,9265,11796182371
2002,Nov,9008,8131398845
2002,Dec,8972,13418740955
2003,Jan,8908,10418914494
2003,Feb,8937,10120512685
2003,Mar,8940,11450655669
2003,Apr,8707,13841403171
2003,May,8311,12731707348
2003,Jun,8317,13080132080
2003,Jul,8537,12757380934
2003,Aug,8567,14350576159
2003,Sep,8421,11929374084
2003,Oct,8527,12083930629
2003,Nov,8569,11516899605
2003,Dec,8497,15580210859
2004,Jan,8473,10232998996
2004,Feb,8479,11395010826
2004,Mar,8619,11406655898
2004,Apr,8693,12112831615
2004,May,9242,9832517348
2004,Jun,9447,11852864296
2004,Jul,9200,9648622440
2004,Aug,9360,10961923100
2004,Sep,9202,19557211997
2004,Oct,9122,14292611568
2004,Nov,9050,16101187108
2004,Dec,9322,13602477697
2005,Jan,9197,11588491595
2005,Feb,9292,12102071101
2005,Mar,9512,14729754364
2005,Apr,9602,10304712137
2005,May,9527,17075096216
2005,Jun,9745,13699085488
2005,Jul,9851,15114915179
2005,Aug,10272,16706732449
2005,Sep,10342,14630175930
2005,Oct,10122,14456697371
2005,Nov,10067,20072005205
2005,Dec,9862,14587272835
2006,Jan,9427,20159919062
2006,Feb,9262,15937660206
2006,Mar,9107,13893161267
2006,Apr,8807,18823775620
2006,May,9252,24528301877
2006,Jun,9332,16160283803
2006,Jul,9102,18121888022
2006,Aug,9132,23681977942
2006,Sep,9267,18551748458
2006,Oct,9142,25223166315
2006,Nov,9197,22986978299
2006,Dec,9052,25294543179
2007,Jan,9122,20409420339
2007,Feb,9192,21978930419
2007,Mar,9150,17306246877
2007,Apr,9115,21807443578
2007,May,8860,17598515961
2007,Jun,9086,16167978458
2007,Jul,9218,26911627259
2007,Aug,9442,21599310338
2007,Sep,9169,21664849399
2007,Oct,9135,22017227744
2007,Nov,9408,19969875048
2007,Dec,9451,25406523550
2008,Jan,9323,20424670452
2008,Feb,9083,17763228173
2008,Mar,9249,24872614032
2008,Apr,9266,25010464190
2008,May,9350,23882144090
2008,Jun,9257,19869862318
2008,Jul,9150,22798741299
2008,Aug,9185,20804814177
2008,Sep,9410,20325968897
2008,Oct,11027,21617182257
2008,Nov,12183,18515253626
2008,Dec,10982,20504684735
2009,Jan,11387,15424519834
2009,Feb,12012,11656776990
2009,Mar,11607,20454094477
2009,Apr,10745,22064517714
2009,May,10372,20674776832
2009,Jun,10257,17647245971
2009,Jul,9952,27462442628
2009,Aug,10092,29226227824
2009,Sep,9713,26244903216
2009,Oct,9577,33100114017
2009,Nov,9512,29757204993
2009,Dec,9432,33931870423
2010,Jan,9397,35483716925
2010,Feb,9367,26277614275
2010,Mar,9147,33811125027
2010,Apr,9044,27923794195
2010,May,9212,30955229971
2010,Jun,9115,29870485901
2010,Jul,8984,26298888736
2010,Aug,9073,29945556587
2010,Sep,8956,25974683736
2010,Oct,8960,28196357371
2010,Nov,9045,37206254777
2010,Dec,9023,36202087813
2011,Jan,9089,33336922133
2011,Feb,8855,30228910620
2011,Mar,8741,32963642287
2011,Apr,8606,30907448061
2011,May,8569,41289524919
2011,Jun,8629,39181311686
2011,Jul,8540,38701758379
2011,Aug,8610,37708051867
2011,Sep,8855,39629587770
2011,Oct,8867,42146914351
2011,Nov,9202,45154647697
2011,Dec,9100,42749425047
2012,Jan,9032,36440437243
2012,Feb,9117,35768176430
2012,Mar,9212,45416190811
2012,Apr,9222,45405287293
2012,May,9597,38159382784
2012,Jun,9512,30283885716
2012,Jul,9517,30548466864
2012,Aug,9592,31749097376
2012,Sep,9620,34474211055
2012,Oct,9647,40233581442
2012,Nov,9637,46889649207
2012,Dec,9702,48395559173
2013,Jan,9730,43736813070
2013,Feb,9699,42957079968
2013,Mar,9751,48758191160
2013,Apr,9754,46677316643
2013,May,9834,48830474712
2013,Jun,9961,42196273873
2013,Jul,10310,42853855638
2013,Aug,10956,43148895941
2013,Sep,11645,44576068200
2013,Oct,11266,44916712279
2013,Nov,12009,53386654001
2013,Dec,12221,56857113671
2014,Jan,12258,37563387739
2014,Feb,11666,32776211383
2014,Mar,11436,37855035239
2014,Apr,11564,32536311939
2014,May,11643,35220545474
2014,Jun,12001,32177664108
2014,Jul,11623,32083161815
2014,Aug,11749,31808761371
2014,Sep,12244,32884445283
2014,Oct,12114,30520787354
2014,Nov,12228,33923926830
